Nr,Quelle,Kategorie,Region,Sprache,Prioritaet,Feed_Typ,URL,Feed_URL_oder_Zugang,Beschreibung
1,EUR-Lex,Behoerde/Recht,EU,DE/EN,Hoch,RSS,https://eur-lex.europa.eu,https://eur-lex.europa.eu/content/help/search/predefined-rss.html,"Offizielles EU-Rechtsportal: MDR/IVDR, delegierte Rechtsakte, Amtsblatt. RSS ueber gespeicherte Suchprofile."
2,EU-Kommission DG SANTE (Medical Devices),Behoerde,EU,EN,Hoch,Scraping,https://health.ec.europa.eu/medical-devices-sector_en,,"Zustaendige GD fuer Medizinprodukte. Zentrale Landingpage fuer MDR/IVDR-Themen und Guidance."
3,MDCG Guidance-Dokumente,Guidance,EU,EN,Hoch,Scraping,https://health.ec.europa.eu/medical-devices-sector/new-regulations/guidance-mdcg-endorsed-documents-and-other-guidance_en,,"Praxisrelevante Auslegungs-Guidance zur MDR/IVDR. Kein Feed - Change-Detection empfohlen."
4,EUDAMED,Behoerde/Datenbank,EU,EN,Mittel,Scraping,https://ec.europa.eu/tools/eudamed,,"Europ. Medizinproduktedatenbank. Release-Notes und Rollout-/Pflichtstatus der Module beobachten."
5,EU Have your say (Better Regulation),Konsultation,EU,EN,Mittel,Scraping,https://ec.europa.eu/info/law/better-regulation/have-your-say_en,,"Geplante Rechtsakte und oeffentliche Konsultationen - Fruehwarnung fuer kommende Regulierung."
6,Team-NB,Benannte Stellen,EU,EN,Mittel,Scraping,https://www.team-nb.org,,"Dachverband der Benannten Stellen: Position Papers und Best-Practice - zeigt Audit-/Zertifizierungserwartungen."
7,BfArM - Medizinprodukte Aktuelles,Behoerde,DE,DE,Hoch,RSS/Newsletter,https://www.bfarm.de/DE/Aktuelles/Aus-den-Fachbereichen/Medizinprodukte-Aktuelles/_node.html,https://www.bfarm.de/DE/Aktuelles/Newsletter/_node.html,"Nationale Umsetzung, Empfehlungen, FAQ. Newsletter und RSS verfuegbar. (Vigilance-Teil ausgeklammert.)"
8,ZLG,Behoerde,DE,DE,Mittel,Scraping,https://www.zlg.de,,"Koordiniert Benannte Stellen und Laender-Marktueberwachung. Veroeffentlicht EK-Med-Beschluesse (belastbare DACH-Auslegungen)."
9,Swissmedic,Behoerde,CH,DE/EN,Niedrig,Newsletter/Scraping,https://www.swissmedic.ch,,"Schweizer Behoerde - relevant bei CH-Marktzugang (eigenstaendiger Status seit MDR)."
10,BASG / AGES,Behoerde,AT,DE,Niedrig,Newsletter/Scraping,https://www.basg.gv.at,,"Oesterreichische Behoerde - relevant bei AT-Marktzugang."
11,FDA CDRH - News & Updates,Behoerde,US,EN,Hoch,Newsletter (GovDelivery),https://www.fda.gov/medical-devices/medical-devices-news-and-events/cdrh-new-news-and-updates,https://www.fda.gov/about-fda/center-devices-and-radiological-health/subscribe-cdrh-email-lists,"US-Medizinproduktebehoerde. Guidance (Draft/Final), 510(k)/PMA, Warning Letters. Granulare E-Mail-Abos ueber GovDelivery."
12,FDA Digital Health Center of Excellence,Behoerde/Spezial,US,EN,Hoch,Newsletter/Scraping,https://www.fda.gov/medical-devices/digital-health-center-excellence,,"Fuehrende Quelle zu SaMD, KI/ML und digitaler Gesundheit (z.B. Predetermined Change Control Plans)."
13,MHRA,Behoerde,UK,EN,Mittel,Newsletter/Atom,https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency,,"UK-Behoerde: UKCA und neuer Medizinprodukterahmen. gov.uk-Seiten bieten .atom-Feeds und E-Mail-Alerts."
14,IMDRF,Harmonisierung,Global,EN,Hoch,Scraping,https://www.imdrf.org,,"Forum fuehrender Regulatoren - global harmonisierte Leitlinien (SaMD, UDI, KI). Bester Trend-Fruehindikator."
15,Health Canada - Medical Devices,Behoerde,CA,EN,Niedrig,Scraping,https://www.canada.ca/en/health-canada/services/drugs-health-products/medical-devices.html,,"Kanadische Behoerde - nur bei geografischer Relevanz."
16,TGA,Behoerde,AU,EN,Niedrig,Newsletter/Scraping,https://www.tga.gov.au,,"Australische Behoerde - nur bei geografischer Relevanz."
17,PMDA,Behoerde,JP,EN/JP,Niedrig,Scraping,https://www.pmda.go.jp/english/,,"Japanische Behoerde - nur bei geografischer Relevanz."
18,WHO - Medical Devices,International,Global,EN,Niedrig,Scraping,https://www.who.int/health-topics/medical-devices,,"Globale Rahmenwerke/Prequalification - eher strategisch als tagesaktuell."
19,ISO,Normung,Global,EN,Hoch,Scraping,https://www.iso.org,,"Kernnormen: ISO 13485, 14971, TR 24971, 20916, 62366. Revisionsstatus je Norm beobachten."
20,IEC,Normung,Global,EN,Mittel,Scraping,https://www.iec.ch,,"Kernnormen: IEC 60601-Reihe (elektr. Sicherheit), 62304 (Software-Lebenszyklus)."
21,Harmonisierte Normen MDR/IVDR,Normung,EU,EN,Hoch,Scraping,https://health.ec.europa.eu/medical-devices-sector/new-regulations/harmonised-standards_en,,"Amtsblatt-Listen der harmonisierten Normen - begruenden Konformitaetsvermutung. Kritisch, kein Feed."
22,DIN / DKE (VDE),Normung,DE,DE,Mittel,Newsletter/Scraping,https://www.din.de,https://www.dke.de,"Nationale Spiegelgremien. Norm-Entwuerfe im Einspruchsverfahren frueh einsehbar."
23,AAMI,Normung,US,EN,Mittel,Newsletter/Scraping,https://www.aami.org,,"US-Normung, stark bei Sterilisation, Software und KI im Risikomanagement (z.B. CR34971). Oft Vorreiter vor ISO."
24,BVMed,Verband,DE,DE,Hoch,Newsletter/RSS,https://www.bvmed.de,https://www.bvmed.de/de/service/rss-feeds,"Bundesverband Medizintechnologie. Deutschsprachig, tagesaktuell, politisch/regulatorisch top. Newsletter + RSS."
25,MedTech Europe,Verband,EU,EN,Hoch,Newsletter/Scraping,https://www.medtecheurope.org,,"Europ. Branchendachverband: Positionspapiere, Studien, fruehe Einordnung zu EU-Regulierung und MDCG-Themen."
26,RAPS (Organisation),Verband,Global,EN,Mittel,Newsletter,https://www.raps.org,,"Berufsorganisation Regulatory Affairs (RAC-Zertifizierung). Weiterbildung und Standards des Berufsstands."
27,DGRA,Verband,DE,DE,Mittel,Scraping,https://www.dgra.de,,"Deutsche Gesellschaft fuer Regulatory Affairs - DACH-Fokus, Fortbildung, Masterstudiengang."
28,VDGH,Verband,DE,DE,Mittel,Newsletter,https://www.vdgh.de,,"Verband der Diagnostica-Industrie - speziell IVD/Labordiagnostik."
29,SPECTARIS,Verband,DE,DE,Niedrig,Newsletter,https://www.spectaris.de,,"Deutscher Industrieverband (u.a. Medizintechnik-Segment)."
30,ZVEI,Verband,DE,DE,Niedrig,Newsletter,https://www.zvei.org,,"Verband der Elektro- und Digitalindustrie - Elektromedizin."
31,RAPS Regulatory Focus,Medien/Intelligence,Global,EN,Hoch,RSS/Newsletter,https://www.raps.org/news-insights/regulatory-focus.html,https://www.raps.org/news-and-articles/news-articles?DocumentTags=RSS,"Tagesaktuelles, redaktionell hochwertiges Nachrichtenportal (EU, FDA, international). Kernquelle."
32,Johner Institut - Blog & Wiki,Medien/Intelligence,DE,DE,Hoch,RSS,https://www.johner-institut.de/blog/,https://www.johner-institut.de/blog/feed/,"Herausragend praxisnah zu Software (IEC 62304), KI, Usability, MDR/IVDR. Top-Empfehlung fuer Design Assurance/Software (DE)."
33,Emergo by UL - Blog & Resources,Medien/Intelligence,Global,EN,Hoch,RSS/Scraping,https://www.emergobyul.com/news,,"Exzellente kostenlose Laenderuebersichten zur weltweiten Medizinprodukte-Regulierung. Pragmatischer Einstieg je Land."
34,BSI - Compliance Navigator / Blog,Medien/Intelligence,UK,EN,Mittel,Newsletter/Scraping,https://www.bsigroup.com,,"Benannte Stelle + Normung. Gute Einordnungen zu MDR, ISO 13485 und KI aus Zertifizierer-Sicht."
35,MedTech Dive,Medien,US,EN,Mittel,RSS/Newsletter,https://www.medtechdive.com,https://www.medtechdive.com/feeds/news/,"Branchennachrichten mit gutem kostenlosem Newsletter und RSS-Feed."
36,MassDevice,Medien,US,EN,Niedrig,RSS,https://www.massdevice.com,https://www.massdevice.com/feed/,"US-lastige Branchennachrichten."
37,Medical Design & Outsourcing,Medien,US,EN,Niedrig,RSS,https://www.medicaldesignandoutsourcing.com,https://www.medicaldesignandoutsourcing.com/feed/,"Produktentwicklungs-/ingenieursnah - Schnittstelle Design Assurance zu Regulierung."
38,MedTech Insight (Citeline),Medien,Global,EN,Niedrig,Paid,https://insights.citeline.com,,"Tiefgehende Branchenanalyse - kostenpflichtig."
39,EU AI Act / AI Office,Spezial (KI),EU,EN,Hoch,Scraping,https://digital-strategy.ec.europa.eu/en/policies/ai-office,,"KI-Medizinprodukte = Hochrisiko. MDR und AI Act greifen ineinander - muss ins Monitoring."
40,FDA Cybersecurity (Devices),Spezial (Security),US,EN,Mittel,Scraping,https://www.fda.gov/medical-devices/digital-health-center-excellence/cybersecurity,,"Premarket/Postmarket Cybersecurity-Guidance fuer vernetzte Produkte."
41,BSI - Bundesamt f. Sicherheit i.d. Informationstechnik,Spezial (Security),DE,DE,Mittel,RSS/Newsletter,https://www.bsi.bund.de,,"Deutsche Cybersecurity-Rahmenwerke - relevant fuer vernetzte Medizinprodukte."
42,FDA QMSR (21 CFR 820 Angleichung ISO 13485),Spezial (QM),US,EN,Hoch,Scraping,https://www.fda.gov/medical-devices/quality-and-compliance-medical-devices,,"Angleichung 21 CFR 820 an ISO 13485 - wirksam Anfang Februar 2026. Direkt QM-relevant, eng verfolgen."
43,MDSAP,Spezial (QM),Global,EN,Mittel,Scraping,https://www.fda.gov/medical-devices/quality-and-compliance-medical-devices/medical-device-single-audit-program-mdsap,,"Updates zum Multi-Laender-Auditprogramm."
